model,room,pipeline,clip,rt60,wer,cer,rtf,infer_s,hypothesis,peak_rss_mb,peak_mps_mb,peak_cpu_pct,mean_cpu_pct,peak_gpu_pct,mean_gpu_pct
faster/small-int8,lecture_hall,rms,large,2.0,0.4085,0.2301,0.1661,9.87,"He hoped there would be stew for dinner, turnips and carrots and bruised potatoes and fat. But pieces to be laid out of thick, peppered, flour-fattened sauce. Stuffed into you, his belly comes to him. After early nightfall, the old lamps would light up near there, the squall of the order of the brothels. Where's your good life? Number ten, fresh and elegant way from you. Connect us, then. The music came nearer and you would call the words, the words of Shelley's fragment on the moon, wandering and hand-less, paid-off of weirdness. The dull light fell though a faint thing upon the page, where all another equation began to unfold itself slowly and to spread it wrong in its wider tale. A cold, lucid indifference, great in its soul. The chaos in which its monitoring exchange itself is a wholly different knowledge of itself.",1557.5,484.0,706.0,411.9,0,0.0
distil/small,small_office,baseline,small,2.0,3.1818,1.7069,0.9943,5.185,Okay. Thank you. So I'm going to have a lot and I'm going to have a lot and I'm going to. So I'm going to see and I'm going to,1360.9,484.0,97.8,57.6,0,0.0
distil/small,small_office,baseline,medium,2.0,0.9574,0.8201,0.077,1.555,So I'm going to see and I'm going and I'm going to and I'm,756.4,484.0,97.5,61.2,0,0.0
distil/small,small_office,baseline,large,2.0,0.9366,0.8005,0.1252,7.441,"and and you know So I'm going to have a lot and I'm going to have a lot and I'm going to. and of I'm going, I'm going to have a lot and a lot. So I'm going to have a lot and I'm going to have a lot and I'm going to be",813.7,484.0,108.1,51.6,0,0.0
distil/small,small_office,rms,small,2.0,0.9091,0.8276,0.154,0.803,Thank you. Thank you.,830.5,484.0,102.1,69.2,0,0.0
distil/small,small_office,rms,medium,2.0,0.9574,0.7626,0.1449,2.925,"So, I'm going to and I'm and I'm So I'm going to see and I'm going and I'm going to and I'm",848.3,484.0,94.3,57.2,0,0.0
distil/small,small_office,rms,large,2.0,0.9296,0.8592,0.0851,5.057,"on, on,,,, of. So I'm going to and I'm going to and I'm and I'm and I'm you know, the other, the other, the other, the other, the other, the",844.1,484.0,110.5,55.7,0,0.0
distil/small,medium_room,baseline,small,2.0,2.3636,1.2241,0.4017,2.095,Okay. Thank you. So I'm going to have a lot and I'm going to have a lot and I'm going to be a,833.6,484.0,86.9,56.5,0,0.0
distil/small,medium_room,baseline,medium,2.0,1.0851,0.6835,0.2072,4.183,"So, I'm going to and I'm and I'm So I'm going to have a lot and I'm going to a lot and I'm going to. So I'm going to have a lot and I'm going to be a lot and I'm going to be a",803.9,484.0,120.9,59.6,0,0.0
distil/small,medium_room,baseline,large,2.0,0.9507,0.8849,0.0597,3.548,So I'm going and I'm going and I'm going to see and I'm going to and I'm going to and I'm going to,785.8,484.0,109.1,57.2,0,0.0
distil/small,medium_room,rms,small,2.0,0.9091,0.8276,0.1504,0.785,Thank you. Thank you.,768.5,484.0,108.6,71.1,0,0.0
distil/small,medium_room,rms,medium,2.0,0.9574,0.7626,0.1388,2.803,"So, I'm going to and I'm and I'm So I'm going to see and I'm going and I'm going to and I'm",772.6,484.0,115.4,57.1,0,0.0
distil/small,medium_room,rms,large,2.0,0.9296,0.7344,0.158,9.389,"So I'm going to have a lot and a lot. that. you know, and I'm going to be a better and I'm going to be a on, on,,, you know So I'm going to see and I'm going and I'm going to and I'm going to So I'm going to have a lot and I'm going to be a lot and I'm going to. I'm going to you know, the other, the other, the other, the other, the other, the",767.2,484.0,104.5,54.5,0,0.0
distil/small,large_office,baseline,small,2.0,0.9091,0.8276,0.138,0.72,Thank you. Thank you.,759.9,484.0,106.4,67.7,0,0.0
distil/small,large_office,baseline,medium,2.0,0.9574,0.7626,0.1432,2.892,"So, I'm going to and I'm and I'm So I'm going to see and I'm going and I'm going to and I'm",760.1,484.0,99.8,57.7,0,0.0
distil/small,large_office,baseline,large,2.0,0.9437,0.7271,0.1739,10.335,"So, that. I'd like a lot a lot So I'm going to have a lot and I'm going to be a lot and I'm going to and I'm you know So I'm going to see and I'm going and I'm going to and I'm going So I'm going to have a lot and I'm going to be a lot and I'm going to and I'm and I'm you know, the other, the other, the other, the other, the other, the",738.4,484.0,97.1,53.2,0,0.0
distil/small,large_office,rms,small,2.0,0.9091,0.8276,0.152,0.793,Thank you. Thank you.,615.3,484.0,108.1,70.8,0,0.0
distil/small,large_office,rms,medium,2.0,0.9574,0.7626,0.1424,2.875,"So, I'm going to and I'm and I'm So I'm going to see and I'm going and I'm going to and I'm",582.2,484.0,97.7,56.7,0,0.0
distil/small,large_office,rms,large,2.0,1.007,0.6977,0.242,14.38,"So, you know I'd like a lot a lot So I'm going to have a lot and I'm going to have a lot and I'm going to and. So I'm going to see and I'm going to and I'm going to and I'm going to So I'm going to have a lot and a lot of it. So I'm going to have a lot and I'm going to be a lot and I'm going to and I'm and I'm So I'm going to see and I'm going and I'm going to and I'm going So I'm going to have a lot and I'm going to be a lot and I'm going to. So I'm going to have a lot and I'm going to see",597.1,484.0,108.3,52.2,0,0.0
distil/small,lecture_hall,baseline,small,2.0,0.9091,0.8276,0.1787,0.932,Thank you. Thank you.,416.3,484.0,81.8,58.4,0,0.0
distil/small,lecture_hall,baseline,medium,2.0,0.9574,0.7374,0.1693,3.419,"So, I'm going to and I'm and I'm So I'm going to see and I'm going to and I'm going to and I'm going to",378.8,484.0,80.9,52.8,0,0.0
distil/small,lecture_hall,baseline,large,2.0,0.9507,0.7234,0.1736,10.318,So I'm going and I'm going to see and I'm going and I'm going and I'm going So I'm going to see and I'm going to and I'm going to and I'm going to So I'm going to have a lot and a lot of it. I'm going to have a lot of it. So I'm going to have a lot and I'm going to and I'm and I'm and I'm So I'm going to see and I'm going and I'm going to and I'm,445.9,484.0,125.7,51.3,0,0.0
distil/small,lecture_hall,rms,small,2.0,0.9091,0.8276,0.1732,0.903,Thank you. Thank you.,454.3,484.0,112.1,62.8,0,0.0
distil/small,lecture_hall,rms,medium,2.0,0.9574,0.7626,0.158,3.191,"So, I'm going to and I'm and I'm So I'm going to see and I'm going and I'm going to and I'm",458.2,484.0,110.5,53.7,0,0.0
distil/small,lecture_hall,rms,large,2.0,0.9507,0.7625,0.1305,7.756,"So, So I'm going to and I'm going to and I'm going to and I'm going So I'm going to see and I'm going to and I'm going to and I'm going to have a lot and a lot So, I'm going to and I'm and I'm and I'm So I'm going to see and I'm going and I'm going to and I'm",414.5,484.0,106.5,54.7,0,0.0
